,book title,ratings,avg_score,author,score,votes
2157,"A Job From Hell (Ancient Legends, #1)","8,338",3.57,Jayde Scott,"102,",2
2158,"Touching Smoke (Touch, #1)","2,322",3.70,Airicka Phoenix,"102,",2
2159,"Mystical Warrior  (Midnight Bay, #3)","1,934",4.26,Janet Chapman,"102,",2
2160,"Shade's Fall (The Last Riders, #4)","14,028",4.38,Jamie Begley,"102,",2
2161,Knox's Stand (The Last Riders #3),"13,000",4.22,Jamie Begley,"102,",2
2162,"Viper's Run (The Last Riders, #2)","14,034",4.17,Jamie Begley,"102,",2
2163,"Razer's Ride (The Last Riders, #1)","17,370",3.88,Jamie Begley,"102,",2
2164,"Shut Out (Hamilton High, #2)","27,355",3.73,Kody Keplinger,"102,",2
2165,"All or Nothing (The Lonnigans, #2)",94,3.68,Dee Tenorio,"101,",2
2166,The Year of My Indian Prince,102,3.88,Ella Thorp Ellis,"101,",2
2167,"Haunting Grace (Beyond Time, #1)",227,3.63,Elizabeth   Marshall,"100,",1
2168,"Her Reluctant Groom (The Grooms, #2)","1,633",3.85,Rose Gordon,"100,",1
2169,Ice,23,4.57,penny88,"100,",1
2170,The Beginning of Dying,87,3.45,Stephanie Zia,"100,",1
2171,Wicked Allure,198,3.80,Leslie C. Ferdinand,"100,",1
2172,The Marker,676,3.76,Meggan Connors,"100,",1
2173,Charming,108,3.78,Susie Kaye Lopez,"100,",1
2174,"Mars on the Rise (Veetu Industries, #1)",74,3.65,Rae Gee,"100,",1
2175,"Eternal Vows (The Ruby Ring, #1)","4,210",3.63,Chrissy Peebles,"100,",1
2176,A Bed of Spices,895,3.91,Barbara Samuel,"100,",1
2177,"Plead Forgiveness (Loyalty, #1)",231,3.99,Aury Dobsyn,"100,",1
2178,"Remembrance (Transcend Time, #1)","4,265",3.60,Michelle Madow,"100,",1
2179,"The Lure of the Moon (The Scripter Trilogy, #1)",68,3.66,Melinda Clark,"100,",1
2180,Forever Yours,179,3.50,Nicole Salmond,"100,",1
2181,Give Us Forever (Harlequin Superromance No. 19),5,2.80,Constance F. Peale,"100,",1
2182,Mad Love,"2,018",3.67,Suzanne Selfors,"100,",1
2183,Ocean's Kiss,43,4.63,J.T. Cheyanne,"100,",1
2184,The Map of Love,"7,300",3.81,Ahdaf Soueif,"100,",1
2185,Nick of Time,199,3.40,Komal Mehta,"100,",1
2186,To Trust a Thief,103,3.95,Michelle McLean,"100,",1
2187,Black Girl Lost,"2,868",4.31,Donald Goines,"100,",1
2188,"Stony Creek Cowboy (Stony Creek, #1)",138,3.85,Taylor Berke,"100,",1
2189,Uncommon Destiny,avg,it,Jettie Claire McCollough,"100,",1
2190,"30 Days (30 Days, #1)","3,616",3.82,K. Larsen,"100,",1
2191,eloves me eloves me not,avg,really,L.A. Johannesson,"100,",1
2192,Difference of Hearts,8,3.62,Aileene Pollard,"100,",1
2193,Between Friends,"1,569",3.71,Amanda Cowen,"100,",1
2194,"Swept (Swept Saga, #1)",267,3.23,Becca Lee Nyx,"100,",1
2195,Her Fake Romance,175,3.82,Donna Fasano,"100,",1
2196,"In a Heartbeat (Heartbeat, #1)","1,059",3.96,Teodora Kostova,"100,",1
2197,"Hell, Fire & Freedom (Fighting for Freedom, #1)",526,3.79,Shannon Callahan,"100,",1
2198,"Wild Ride (Riding with Honor, #3)",626,4.20,Rebecca M. Avery,"100,",1
2199,"Selling Scarlett (Love Inc., #1)","7,170",3.72,Ella James,"100,",1
2200,Silver Linings,27,4.22,Kate  James,"100,",1
2201,CRAZY LOVE - verrückt verliebt,66,3.68,Eileen Janket,"100,",1
2202,"Absolutely Unforgivable (Absolutely Unforgivable, #1)",309,3.33,Tracy Tegan,"100,",1
2203,Water's End,13,4.15,Jessica Deforest,"100,",1
2204,"Stranded (Night Calls, #1)",709,3.61,J.C. Valentine,"100,",1
2205,"She's So Dead to Us (He's So/She's So, #1)","8,395",3.98,Kieran Scott,"100,",1
2206,"Kiss Me in Paris (Kiss Me, #1)",527,3.94,Dmytry Karpov,"100,",1
2207,"An Accidental Affair (Liliana Batchelor, #1)",534,3.86,Holly Blackstone,"100,",1
2208,If I Stay,"1,315",3.58,Evan Reeves,"100,",1
2209,"Undescribable (Undescribable, #1)","6,282",4.03,Shantel Tessier,"100,",1
2210,Turning the Tide,avg,really,L. Jayne,"100,",1
2211,The Sheikh's Impatient Virgin,335,3.52,Kim Lawrence,"100,",1
2212,Love Letters,"6,170",3.72,Katie Fforde,"100,",1
2213,Jezebel,155,3.63,Koko Brown,"100,",1
2214,"Sweet Memories (Love So Sweet, #1)",587,3.40,Steena Holmes,"100,",1
2215,The Lost Memoirs of Jane Austen: A Delightfully Possible Historical Romance of Love and Literary Inspiration,"6,920",3.79,Syrie James,"100,",1
2216,EXcapades,30,3.83,Debra  Kay,"100,",1
2217,"The Way to a Duke's Heart (The Truth About the Duke, #3)","2,031",3.91,Caroline Linden,"100,",1
2218,Shh...Mine (This. Is. Not. Over),423,3.91,Shannon Dianne,"100,",1
2219,The Secret and the Flame,10,3.10,J. Hopfinger,"100,",1
2220,"Agent with a History (The Agents for Good, #1)",216,3.94,Guy S. Stanton III,"100,",1
2221,"Emerald Eyes (Emerald Eyes Trilogy, #1)",166,4.22,N. Michaels,"100,",1
2222,Blue Love (Love #1),"1,469",3.93,M.J. Fields,"100,",1
2223,"A Twist of Fate (Lexi, #1)","1,366",4.10,T. Gephart,"100,",1
2224,His Brother's Wife,411,4.37,Val Wood,"100,",1
2225,A Modern Love Story,"1,879",3.36,Jolyn Palliata,"100,",1
2226,"Code Name: Ghost (A Warrior's Challenge, #1)",avg,really,Natasza Waters,"100,",1
2227,"Fighting for You (Danvers, #4)","3,812",4.12,Sydney Landon,"100,",1
2228,He Belongs with Me,"1,100",3.78,Sarah Darlington,"100,",1
2229,"Jessica's Seduction (Jessica's Seduction, #1)",80,3.26,Darren G. Burton,"100,",1
2230,Matter of Choice,120,3.70,R.M. Alexander,"100,",1
2231,The Contract,541,3.63,Zeenat Mahal,"100,",1
2232,Escape down under (Down under #1),196,3.95,S.M.  Phillips,"100,",1
2233,The Blink of Her Eye,97,3.57,Angelica Thaddeus,"100,",1
2234,The Belgrave Daughter (The Belgrave Legacy #1A),21,3.48,Zara Hoffman,"100,",1
2235,Speechless,"11,321",3.97,Hannah Harrington,"100,",1
2236,Changing Times (Hidden Mountain #2),91,4.58,Jacqueline Rhoades,"100,",1
2237,Time Enough for Love,946,3.76,Suzanne Brockmann,"100,",1
2238,"Memory Betrayal (Memory Betrayal, #1)",52,3.38,Deborah Ann,"100,",1
2239,"The Billionaire Banker (The Billionaire Banker, #1)","8,728",3.99,Georgia Le Carre,"100,",1
2240,"Second Chance Grill (Liberty, #1)","2,573",4.26,Christine Nolfi,"100,",1
2241,First Chance (Rock Romance #1),970,3.75,A.L. Wood,"100,",1
2242,the McEllis Boys,99,4.66,Nicole Sturgill,"100,",1
2243,"First Position (Body Double, #1)",avg,really,Ali Carter,"100,",1
2244,"My Wolf King (Wolf Town Guardians, #1)",379,3.44,Rose Wynters,"100,",1
2245,"Justice (New Species, #4)","22,029",4.25,Laurann Dohner,"100,",1
2246,منتهى الحب,606,3.56,إحسان عبد القدوس,"100,",1
2247,"Tempting Love: Haley & Eddie (Crossroads, #5)","3,690",4.20,Melanie Shawn,"100,",1
2248,And the Sun Always Sets,67,4.48,Danny Odato,"100,",1
2249,Lex (Unconventional Hearts #1),avg,really,S.K. Logsdon,"100,",1
2250,"Complicated Creatures: Part One (Complicated Creatures, #1)",580,4.26,Alexi Lawless,"100,",1
2251,Unsticky,"6,657",3.94,Sarra Manning,"100,",1
2252,The Dark Lady,83,3.90,Dawn Chandler,"100,",1
2253,"Autumn Getaway (Seasons of Love, #1)",390,3.81,Jennifer Gracen,"100,",1
2254,"Destroy Me (Obsession, #1-3)",894,3.27,S Hart,"100,",1
2255,Doctors,"15,083",4.08,Erich Segal,"100,",1
2256,"Elsker (The Elsker Saga, #1)","3,613",3.81,S.T. Bende,"100,",1
2257,"Moments in Time: The Complete Novella Collection (Moments In Time, #1-3)",42,4.12,Dori Lavelle,"100,",1
2258,Taking Charge,139,4.53,Bridgitte Lesley,"100,",1
2259,"Christmas Wishes, Valentine Kisses: Unwrapped & Cupid's Mistake In One Volume",avg,it,Chantilly White,"100,",1
2260,"Kiss Me Like This (The Morrisons, #1)","5,344",4.04,Bella Andre,"100,",1
2261,An Involuntary Spark (Summerhouse #1),31,3.55,V.C. Archerly,"100,",1
2262,"Lily of the Valley (Flowering, #1.2)",643,3.86,Sarah Daltry,"100,",1
2263,The Seduction of Samantha Bowman (Hologram #1),247,3.79,Nancy   Miller,"100,",1
2264,Irrepressible You,457,3.74,Georgina Penney,"100,",1
2265,Wingman [Woman],"6,379",4.08,Bella Jewel,"100,",1
2266,Land of My Dreams (A Home for My Heart #1),262,4.37,Norma Gail,"100,",1
2267,The Wilde Women,786,3.90,Paula Wall,"100,",1
2268,Robin: Lady of Legend,avg,really,R.M. ArceJaeger,"100,",1
2269,The Last Encore,194,3.54,Julia  Butler,"100,",1
2270,"The Forgotten Child (The Outsider Series, #1)","2,866",3.90,Lorhainne Eckhart,"100,",1
2271,"Between Henry & Clinton, A Novel",14,4.43,Francine Richetti,"100,",1
2272,Pack of Lies,29,3.79,Lucy Felthouse,"100,",1
2273,"A Love Beyond Time (Power of Love Quartet, #1)",40,4.22,Dante Craddock,"100,",1
2274,The Publicist (The Publicist #1),735,3.69,Christina George,"100,",1
2275,"Saving Toby (Toby & Claudia, #1)",298,3.92,Suzanne McKenna Link,"100,",1
2276,"Rewind (Perfect Forever, #2)",111,3.77,Susan  Ward,"100,",1
2277,"Captured (Warriors of Hir,  #1)","2,581",3.70,Willow Danes,"100,",1
2278,"Captured Miracle (Captured Miracle, #1)",616,3.58,Alannah Carbonneau,"100,",1
2279,The Immortal Collection,"7,541",4.03,Eva García Sáenz,"100,",1
2280,Werewolf Nights,avg,really,Mari Hamill,"100,",1
2281,Overseas,"8,543",3.54,Beatriz Williams,"100,",1
2282,"Painted Love, Part 1: Logan",avg,really,Della  Rose,"100,",1
2283,"Curveball (Curveball, #1)",177,4.53,Teresa Michaels,"100,",1
2284,"Branded (Strand Brothers, #1)",256,4.08,Lora Ann,"100,",1
2285,"Finding Serenity (Seeking Serenity, #2)",441,3.94,Eden Butler,"100,",1
2286,Grays Hill,59,3.81,Barbara T. Cerny,"100,",1
2287,"Sacred Waters (McCullough Mountain, #1)","1,506",4.03,Lydia Michaels,"100,",1
2288,Time Was - A romantic comedy ..... with a kink,29,3.79,Paul     Adams,"100,",1
2289,"Hart Attack (Titan, #5)","2,850",4.40,Cristin Harber,"100,",1
2290,Amelia (The Three Mrs. Monroes #1),101,4.40,Bernadette Marie,"100,",1
2291,Bitter Candy,63,3.08,Lily Ableman,"100,",1
2292,Island Roulette,10,2.60,Emily   Smith,"100,",1
2293,"Darker Water (Once and Forever, #1)","7,917",4.04,Lauren Stewart,"100,",1
2294,Warrior's Surrender,386,4.23,Elizabeth Ellen Carter,"100,",1
2295,Left to Chance (Chances Are #2),365,3.87,C.D. Taylor,"100,",1
2296,Internal  Conflict,23,4.35,E.A. Stripling,"100,",1
2297,Paradox Love,74,4.01,Dorothy Gravelle,"100,",1
2298,Sealed Fate Savage Passion,avg,really,Patricia Lynndail,"100,",1
2299,Crazy for the Sweet Confections Baker,avg,really,Danyelle Ferguson,"100,",1
2300,Fallen Angel (Fallen Angel #1),66,3.38,Alisa Anderson,"100,",1
2301,The Vagabond Vicar (Hearts of Amberley #1),300,4.08,Charlotte Brentwood,"100,",1
2302,"Legal Ease (Sutton Capital, #1)","2,394",3.85,Lori Ryan,"100,",1
2303,The Last Love of Eleanor Sands,5,4.40,Gary Paul Corcoran,"100,",1
2304,"Rock Notes (Heartbeat, #1)",296,3.66,Renee Lee Fisher,"100,",1
2305,Soundings: Water Elemental (Elementals #2),16,4.62,Janine Donoho,"100,",1
2306,"Compulsion (The Heirs of Watson Island, #1)","3,276",3.85,Martina Boone,"100,",1
2307,All This Time (Style & Profile #1),13,3.77,Kim Cox,"100,",1
2308,"Hard and Fast (Rules to Break, #1)",77,3.60,Ana Gabriel,"100,",1
2309,"Darker Shades of Obsession (Obsession, #2)",79,4.16,J.R.  King,"100,",1
2310,Rory's Love,22,4.18,Donna Butler,"100,",1
2311,"Saving Ella (Mercy's Angels, #1)","2,777",3.95,Kirsty Dallas,"100,",1
2312,"Tyburn (The Southwark Saga, #1)",239,4.06,Jessica Cale,"100,",1
2313,Fire & Water,326,4.12,Betsy Graziani Fasbinder,"100,",1
2314,Camo & Roses,14,4.29,Amanda Springer,"100,",1
2315,Your Love Was All I Had!,82,4.28,Kaushal Jha,"100,",1
2316,"Fading Away (Hardest Mistakes, #1)",47,3.49,Dannielle Wicks,"100,",1
2317,"Pursuit For Lucidity (Crashing Waves, #1)",69,4.01,Marie Jem,"100,",1
2318,"Tailing Her (Quick & Furry, #2)","1,391",4.01,Celia Kyle,"100,",1
2319,"All Fired Up (Sin City Uniforms, #1)",593,3.84,Morticia Knight,"100,",1
2320,Broken Homes & Gardens,138,3.67,Rebecca Kelley,"100,",1
2321,Bound by the Summer Prince,77,4.10,Mistral Dawn,"100,",1
2322,A Tender Touch (Donnelley Brothers #4),86,4.21,Alannah Carbonneau,"100,",1
2323,"Stepbrother Got Me Pregnant (Forbidden Pregnant, #1)",51,3.80,Ethan Cox,"100,",1
2324,Love at Second Life,avg,it,Rachael Ruble,"100,",1
2325,Return to Me (Pride #8),589,4.27,Jill Sanders,"100,",1
2326,Ella's Love,45,4.11,Jasmine  Lee,"100,",1
2327,Masked Hearts,11,4.64,Evelyn Aster,"100,",1
2328,"Clipped by Love (Bellevue Bullies, #2)","4,505",4.34,Toni Aleo,"100,",1
2329,The Newcomer (Thunder Point #2),"17,284",4.11,Robyn Carr,"100,",1
2330,"The Huntress of Thornbeck Forest (A Medieval Fairy Tale, #1)","9,755",3.88,Melanie Dickerson,"100,",1
2331,"All Yours (The Billionaire Next Door, #1)",63,3.51,Violette Paradis,"100,",1
2332,السيدة خديجة أم المؤمنين,160,3.95,أحمد محمد صقر,"100,",1
2333,A Guest At The Ranch,193,4.21,Vivian Sinclair,"100,",1
2334,A New Dawn,2,4.50,Helena Winters,"100,",1
2335,The Tycoon's Red Hot Marriage Merger,76,4.16,Christine Glover,"100,",1
2336,"A Man of Character (Magic of Love, #1)",555,3.77,Margaret Locke,"100,",1
2337,Her Lifeline,30,3.23,Danica Chandler,"100,",1
2338,A Gateway to Hope,77,4.27,E.C. Jackson,"100,",1
2339,The Collar Duet,55,4.27,Alexandra Iff,"100,",1
2340,A Taste of Country (Country Love #2),498,4.23,Vicki Green,"100,",1
2341,Tight Spiral (Smith & Carrington #1),35,4.40,Michael J.  Gill,"100,",1
2342,Keeping Fog,avg,really,Savannah Avery,"100,",1
2343,Jewell (A Second Chance Novel Book 2),63,4.49,Tina DeSalvo,"100,",1
2344,Heroin Love,9,2.56,I.M. Hunter,"100,",1
2345,Preferred Rewards,72,3.86,Michael Patrick Lewis,"100,",1
2346,"Within a Captain's Hold (Captains of the Scarlet Night, #1)",73,4.04,Lisa A. Olech,"100,",1
2347,Jemima J,"121,644",3.68,Jane Green,"100,",1
2348,"Dane (HUNKS, #1)",84,3.93,Michelle Hughes,"100,",1
2349,Finding Love In The Sweet Life: A Missing Ingredient Romance Novel,26,3.81,Diann Dean,"100,",1
2350,Evanthia's Gift (The Gift Saga #1),559,4.39,Effie Kammenou,"100,",1
2351,"Necessary Risk (Bodyguard, #1)",349,3.62,Tara Wyatt,"100,",1
2352,The Seacrest (Paines Creek Beach #1),528,3.98,Aaron Paul Lazar,"100,",1
2353,"Unexpected Love (Unexpected, #1)",34,3.15,Isabel Curtis,"100,",1
2354,Shadows on the Nile,"1,843",3.58,Kate Furnivall,"100,",1
2355,Room 702,577,3.73,Paloma Aínsa,"100,",1
2356,To See Clearly,avg,it,Susan Monday,"100,",1
2357,"Golden Doll (Angel to Butterfly, #1)",48,4.71,B.B. Blaque,"100,",1
2358,"Bachelorette for Sale (West Side Romance, #1)",399,3.84,Gail Chianese,"100,",1
2359,Mind Cuffed: Eight Erotic Fantasies Unlocked,avg,really,Bhairavi Sharma,"100,",1
2360,Wild Cards (Twisted #3),136,3.90,R.C. Stephens,"100,",1
2361,"Penthouse Prince (Billionaire Dynasties, #1)","2,497",3.67,Virginia Nelson,"100,",1
2362,"Forbidden Forest (The Legends of Regia, #1)","6,355",3.91,Tenaya Jayne,"100,",1
2363,"Atlantis: On the Shores of Forever (Atlantis: The Antediluvian Chronicles, #1)",73,4.34,Jennifer McKeithen,"100,",1
2364,A Carpet of Purple Flowers,54,3.98,Tracey-anne McCartney,"100,",1
2365,The Renegade Queen (Rebellious Times #1),244,3.76,Eva Flynn,"100,",1
2366,Unforgivable Lust & Fire (The Unforgivable Series. Book 1),15,4.13,Shay Lee Soleil,"100,",1
2367,Clover House,5,4.40,Alan Cuthbertson,"100,",1
2368,Resplendent Ruin (Resplendence #1),225,4.02,Bella J.,"100,",1
2369,Hidden Husband,309,3.67,Shikha Kaul,"100,",1
2370,Our Kiss,22,3.55,J.A. Alldredge,"100,",1
2371,Mortal Musings,43,4.02,Aria Glazki,"100,",1
2372,Ember Eternal: Eternal Fire Series,5,3.60,Emily Rose Philips,"100,",1
2373,Playing the Bad Boy's Game,6,3.83,8tracks,"100,",1
2374,44 Chapters About 4 Men,"11,970",3.76,B.B. Easton,"100,",1
2375,Dead End of Puppy Creek Road,avg,it,Bennie Gayle,"100,",1
2376,"Beaten (Broken, #1)",119,3.77,Rebekah Rue,"100,",1
2377,"Temptation (The Hunted, #1)","49,204",3.83,Ivy Smoak,"100,",1
2378,The Sexy Professor: Redemption (The Sexy Series),126,3.75,T.R. Bertrand,"100,",1
2379,A Unique Kind of Love,"1,018",4.12,Jasmine  Rose,"100,",1
2380,"Stepbrother, Where Art Thou? Collection (Stepbrother, Where Art Thou?, #1-3)",27,3.70,Aya Fukunishi,"100,",1
2381,You're My All,18,4.67,Edvin Palmer,"100,",1
2382,"Pretty Pink Ribbons (A Touch of Fate, #2)","1,433",4.33,K.L. Grayson,"100,",1
2383,Crashing Tides,147,4.10,Casey Peeler,"100,",1
2384,"Flirting with Fame (Love in Disguise, #1)",592,3.70,Samantha  Joyce,"100,",1
2385,"Royal Savage (Savage & Ink, #1)","21,773",4.13,Victoria Ashley,"100,",1
2386,"Sunset Reads: William & Cristina (Sunset Reads, #1)",128,4.26,D.C. Triana,"100,",1
2387,Dice (Dangerous Host #1),12,2.83,Samantha L.,"100,",1
2388,Broken Women (Barb and Janet #1),117,3.77,Anne Hagan,"100,",1
2389,"Earth Bound (Fly Me to the Moon, #2)",469,4.24,Emma Barry,"100,",1
2390,Hart's Desire (The Hart Trilogy #1),122,3.96,Chloe Flowers,"100,",1
2391,To Kiss a Thief (Runaway Desires #1),605,3.80,Susanna Craig,"100,",1
2392,The Accident,42,3.86,Dorice Grey,"100,",1
2393,Seasons of Love and War,67,4.51,Brenda Ashworth Barry,"100,",1
2394,Burning Feathers,3,4.67,Saeda Aaleo,"100,",1
2395,Cake (Cake #1),"14,337",4.24,J. Bengtsson,"100,",1
2396,Hooked,452,3.97,Christine Manzari,"100,",1
2397,A Fine Mess (Over the Top #2),611,3.87,Kelly Siskind,"100,",1
2398,A Violet and Two Gentlemen,26,3.65,Petronela Ungureanu,"100,",1
2399,"Man of Honor (Battle Scars, #3)",187,4.21,Diana Gardin,"100,",1
2400,The Last Summer,"3,133",3.85,Judith Kinghorn,"100,",1
2401,"Conflict of Interest (Employee Relations, #1)",88,4.20,Teresa Michaels,"100,",1
2402,Inarticulate,"1,588",4.02,Eden Summers,"100,",1
2403,"The Misadventures of Catie Bloom (Bloom Sisters, #1)","1,044",3.58,Brooke Stanton,"100,",1
2404,A Living Hope,30,4.33,E.C. Jackson,"100,",1
2405,Everything Stolen,246,3.93,Sophia Scarlet,"100,",1
2406,The Man Who Built the Castle,avg,it,M. Wellman,"100,",1
2407,Amore infedele,avg,really,Mercy Molinari,"100,",1
2408,Never a Dream,23,3.87,Polina Traore,"100,",1
2409,"Childish Games (Meet the Shepards, #2)",55,4.09,Jacqueline  Francis,"100,",1
2410,Nannyland,225,3.96,Jane Elizabeth Hughes,"100,",1
2411,Blood Script,322,4.20,Airicka Phoenix,"100,",1
2412,The Scion Princess (The Scion Society #1),11,3.82,Tovaley B. Kysel,"100,",1
2413,Blush: Part 1 (The Governor Series),22,3.45,D.M. Lee,"100,",1
2414,Colliding Hearts,19,3.37,Isabel Curtis,"100,",1
2415,"Crazy Good (Crazy Good, #1)","7,913",4.11,Rachel  Robinson,"100,",1
2416,Remhurst Manor,2,4.50,Tamasine Loves,"100,",1
2417,Freeing Liberty,avg,really,J.M. Paul,"100,",1
2418,Tortured Heart Be Healed,avg,it,Henny Warren,"100,",1
2419,Something There In Between (The Between Series Book 1),410,4.01,S.   Ferguson,"100,",1
2420,It's You,38,3.53,D. Bunyan,"100,",1
2421,Constellation (Constellation #1),92,4.51,Jennifer Locklear,"100,",1
2422,Beyond the Break (Conch Garden Book 1),326,4.12,Kristen Mae,"100,",1
2423,Ravens Deep (Ravens Deep #1),30,3.83,Jane  Jordan,"100,",1
2424,Winterflood's Passion,13,4.31,Diana  Thompson,"100,",1
2425,"Second Draft (Men with Wood, #1)","4,524",3.98,C.M. Seabrook,"100,",1
2426,In search of a Soulmate,15,4.40,Swapna Rajput,"100,",1
2427,Tender No Judgment: #1 In The Desperation To Power Series,47,4.09,Elle St.John,"100,",1
2428,Secrets,"8,249",3.90,Danielle Steel,"100,",1
2429,Bachelor at Her Bidding (Montana Born Bachelor Auction #2),739,3.91,Kate Hardy,"100,",1
2430,Temple of my Heart,5,4.40,Vatasescu Ana-Irina,"100,",1
2431,Playing with Fire (Game Time #1),337,3.96,Alix Nichols,"100,",1
2432,"Don't Lie to Me (Bad for You, #3)",119,4.02,Amber A. Bardan,"100,",1
2433,"Losing Lola (Mercy's Angels, #5)",330,4.21,Kirsty Dallas,"100,",1
2434,"The Irish Prince (Billionaire Dynasties, #2)",605,3.77,Virginia Nelson,"100,",1
2435,Clan of the Wolf (The Dawn of Man: Peta's Story Book 1),569,4.05,Avery Kloss,"100,",1
2436,Renegade,51,4.37,Jeanne McDonald,"100,",1
2437,Bound by Steel,321,3.81,Connie Lafortune,"100,",1
2438,"Touch Me (Solveig, Alaska Book 1)",avg,really,Madame Baldridge,"100,",1
2439,Black-Eyed Susan,18,4.22,Elizabeth Leiknes,"100,",1
2440,The Divinity Bureau,86,4.08,Tessa Clare,"100,",1
2441,Bullets & Bonfires,"2,314",4.09,Autumn Jones Lake,"100,",1
2442,"Linny's Sweet Dream List (Willow Hill, #1)",400,4.17,Susan Schild,"100,",1
2443,Just Because of You,11,3.27,Isla Chiu,"100,",1
2444,"One To See Me (The ONE Series, Part 1, Book 2)",39,4.21,Alicia  Maxwell,"100,",1
2445,Way Beyond The Mirage,avg,it,J.S. Lockwood,"100,",1
2446,Saturday in Serendipity,33,4.30,Margo Hoornstra,"100,",1
2447,Letters to Helen,29,3.79,Kayt Roth,"100,",1
2448,Serendipity,7,4.71,Ashwini Shenoy,"100,",1
2449,Everything Happens for a Reason,64,4.30,Tina-Marie Miller,"100,",1
2450,Certain Dark Things,0,0.00,Thalyta Haiden Greene,"100,",1
2451,Beneath the Bedrock,6,4.67,Julien Bradley,"100,",1
2452,"Isn't She Lovely (Redemption, #0.5)","12,117",3.96,Lauren Layne,"100,",2
2453,I Will Never Marry a Cowboy,9,4.89,Aim Ruivivar,"100,",1
2454,East of Today,rating,liked,Dixie Browning,"100,",1
2455,Fire's Kiss,111,4.14,Brittany Pate,"100,",1
2456,The Water is Wide,358,3.97,Natalie  Banks,"100,",1
2457,School of Ladies - The Debutantes,15,4.60,Ennie Smith,"100,",1
2458,Ocean of Desires,rating,liked,Anna D. George,"100,",1
2459,My Torin,"8,304",4.18,K. Webster,"100,",1
2460,"To Say Nothing of the Dog (Oxford Time Travel, #2)","44,478",4.10,Connie Willis,"100,",1
2461,Carn Mo'r,47,4.49,J.W. Murison,"100,",1
2462,Djinn,138,4.08,Sang Kromah,"100,",1
2463,In Between,31,3.55,M.A. Fernández,"100,",1
2464,"Tall, Dark & Handsome",7,4.14,Ellie Rose Hawkins,"100,",1
2465,Invicta,22,3.95,Miriam Alonso,"100,",1
2466,Savasana's Kiss: A Yoga Love Story,35,4.31,R.C. Robbin,"100,",1
2467,Unapologetic,348,3.69,Pamela Ann,"100,",1
2468,"A Loyal Heart (An Uncertain Choice, #4)","2,135",4.34,Jody Hedlund,"100,",1
2469,The Awakening: A Wolf Creek Falls Novel,17,4.06,S.D. Vieau,"100,",1
2470,Love and Ruin,"26,768",3.86,Paula McLain,"100,",1
2471,An Inquiry into Love and Death,"11,319",3.87,Simone St. James,"100,",1
2472,La fábrica de zapatos,4,4.25,Vicente Escribano Montaner,"100,",1
2473,"The Ticket (The Affair, #1)",325,3.85,Aidèe Jaimes,"100,",1
2474,Breakthrough,19,4.95,Ashley  Walsh,"100,",1
2475,The Songs We Hide,58,4.41,Connie Hampton Connally,"100,",1
2476,"Heart of the Hunter: A Novella of Polyamory (The Triad Hearts, #1)",34,3.91,Alex  Foster,"100,",1
2477,La Portadora,35,4.54,Monica  Gomez,"100,",1
2478,Disconnected,42,4.38,J. Cafesin,"100,",1
2479,Undisputed (Undisputed #1),193,4.36,Aaron L. Speer,"100,",1
2480,The Jane Austen Book Club,"71,162",3.10,Karen Joy Fowler,"100,",1
2481,Let's Talk About Love,"11,583",3.69,Claire Kann,"100,",1
2482,She Got Me: Deja,71,3.87,Just Bae,"100,",1
2483,Surrender,314,4.28,D.M. Mortier,"100,",1
2484,...And I Blinked,avg,it,Tiffany D. Brown,"100,",1
2485,"Twist Me (Twist Me, #1)","32,932",3.84,Anna Zaires,"100,",1
2486,"Don't Say No: Smokin’ Hot Billionaire Contemporary Romance (Smokin’ Hot Women's Fiction, #1)",34,4.94,Cassandra Ormand,"100,",1
2487,"Open Your Heart (Material Girls, #1)",216,3.95,Sophia Henry,"100,",1
2488,Come Undone,241,4.27,Penny Dee,"100,",1
2489,MAX (NIGHTMARE WARRIOR MC Book 1),avg,really,D.S. Tossell,"100,",1
2490,Lyrical  Lights,43,3.91,Maria La Serra,"100,",1
2491,In the Dark,avg,it,Everly James,"100,",1
2492,Nicole,14,4.93,Ronel Golden,"100,",1
2493,Second Chance In Love,11,3.73,Emma Monaghan,"100,",1
2494,"The Hookup (Moonlight and Motor Oil, #1)","22,445",4.12,Kristen Ashley,"100,",2
2495,"The Immortal Lover (UnHoly Pursuit Prequel, #1)",38,4.89,A.   White,"100,",1
2496,When We Began (Timber Creek #3),142,4.46,Elena Aitken,"100,",1
2497,"Eye on the Ball (Playing for Glory, #1)",51,4.29,Francine Beaton,"100,",1
2498,"Never Is a Very Long Time (The Perfect Date, #1)",839,4.14,Donna McDonald,"100,",1
2499,"All the Wrong Reasons (Destiny's Games, #1)","1,453",4.29,Jerilee Kaye,"100,",1
2500,Enchanting Love (E Love Series Book 2),36,4.61,Danyelle Scroggins,"100,",1
2501,Watch City: Waltham Watch,31,4.03,Jessica Lucci,"100,",1
2502,"Vantage Point (The Point Series, #2)",5,4.40,Georgia Hamilton,"100,",1
2503,"Afraid to Fall (Ancient Passages, #1)",88,4.09,Sutton Bishop,"100,",1
2504,The Truth About Adira,7,4.57,Anna  Paulsen,"100,",1
2505,She Fell In Love With A Vicious Man,11,4.09,Tafiska Nyasulu Ndovi,"100,",1
2506,Soul Bound to Scotland,avg,it,R.L. Dubbert,"100,",1
2507,Luna and Sol,56,4.48,A.M. Kusi,"100,",1
