,book title,ratings,avg_score,author,score,votes
3950,Aspen: A Love Story,24,3.67,T.K. Lucaith,"88,",1
3951,Stray,64,3.98,Solveig Yrsa,"88,",1
3952,Flirting with Forever,"5,021",3.89,Kendall Ryan,"88,",1
3953,"Melody's Christmas (Heartwarming Holidays Sweet Romance, #1)",964,4.36,I.D.  Johnson,"88,",1
3954,"Christmas Fairytales (The MacGregors, #7)","16,822",4.10,Nora Roberts,"88,",1
3955,"Act Your Age, Eve Brown (The Brown Sisters, #3)","101,442",4.07,Talia Hibbert,"88,",1
3956,Accidentally Engaged,"13,883",3.69,Farah Heron,"88,",1
3957,Love to Hate You,"1,906",3.87,Camilla Isley,"88,",1
3958,"Untouchable (Untouchables, #1)","25,931",3.93,Sam Mariano,"88,",1
3959,Love in the Castle Library (In the Castle Library #2),333,4.64,Ann Swindell,"88,",1
3960,"The Golden Valkyrie (Sedikhan, #2)","1,211",3.56,Iris Johansen,"87,",1
3961,"Finding Zach (Finding Zach, #1)","4,822",3.95,Rowan Speedwell,"87,",1
3962,"¿Y a ti qué te importa? (¿Y a ti...?, #1)","4,810",4.01,Megan Maxwell,"87,",1
3963,"Ice (Alaska Heat, #1)","1,124",4.14,Stephanie Rowe,"87,",1
3964,"Down for the Count (Dare Me, #1)","10,537",3.90,Christine  Bell,"87,",1
3965,"Here to Stay (Kendrick/Coulter/Harrigan, #10)","3,268",4.12,Catherine Anderson,"87,",1
3966,Tidal,"13,010",3.96,Emily Snow,"87,",2
3967,"The Bet (The Bet, #1)","32,126",3.81,Rachel Van Dyken,"87,",1
3968,Queen's Grace,59,3.98,Jan Westcott,"87,",1
3969,Risky Shot (Bluegrass Series #2),"7,304",4.34,Kathleen Brooks,"87,",1
3970,"East (East, #1)","46,784",4.14,Edith Pattou,"87,",1
3971,By My Side,226,3.63,Stephanie Witter,"87,",1
3972,"Wild Oats (Wild Oats, #1)","1,408",3.92,Pamela Morsi,"87,",1
3973,"Girls Rule, Boys Drool",9,3.78,Lucy Felthouse,"87,",1
3974,"Just This Once (Escape to New Zealand, #1)","9,055",3.84,Rosalind  James,"87,",1
3975,"Six Brothers (Gypsy Brothers, #2)","10,916",4.16,Lili St. Germain,"87,",1
3976,Thorns of Eden,107,3.90,Diana Ballew,"87,",1
3977,L'eredità di Eszter,"5,392",3.71,Sándor Márai,"87,",1
3978,The Lady of Abu Simbel (Ramses #4),"6,043",4.02,Christian Jacq,"87,",1
3979,My Daughter 's Friends,10,4.20,J.D. Killi,"87,",1
3980,"The West Series #1-3 (West, #1-3)",304,4.41,Jill Sanders,"87,",1
3981,"Raine Falling (Hells Saints Motorcycle Club, #1)","8,378",3.99,Paula Marinaro,"87,",1
3982,Lovestruck in London (Lovestruck #1),"3,121",3.79,Rachel Schurig,"87,",1
